eventname,EventLongName,EventShortName,LocalisedEventLongName,countrycode,seriesid,EventLocation,geometry
windsorprecinct,Windsor Precinct parkrun,Windsor Precinct,,3,1,Windsor Precinct,POINT (147.095454 -41.403535)
railton,Railton parkrun,Railton,,3,1,Lions Park,POINT (146.424482 -41.347581)
porthedland,Port Hedland parkrun,Port Hedland,,3,1,Civic Centre Gardens,POINT (118.613332 -20.307149)
sunbury,Sunbury parkrun,Sunbury,,3,1,Apex Park,POINT (144.739936 -37.580542)
whitfordsnodes,Whitfords Nodes parkrun,Whitfords Nodes,,3,1,Whitfords Nodes Park,POINT (115.73696 -31.817129)
cloncurry,Cloncurry parkrun,Cloncurry,,3,1,Mary K Park,POINT (140.519814 -20.70873)
reynellaeast,Reynella East parkrun,Reynella East,,3,1,The Wetlands,POINT (138.558626 -35.088747)
lota,Lota parkrun,Lota,,3,1,Lota Camping Reserve,POINT (153.193225 -27.468558)
eastrichmond,East Richmond parkrun,East Richmond,,3,1,Ham Common Bicentenary Park,POINT (150.774321 -33.604814)
marriottwaters,Marriott Waters parkrun,Marriott Waters,,3,1,Marriott Waters Reserve,POINT (145.249088 -38.072157)
miles,Miles parkrun,Miles,,3,1,Moraby Park,POINT (150.180284 -26.656701)
stgeorge,St George parkrun,St George,,3,1,St George,POINT (148.568244 -28.044422)
koonwarra,Koonwarra parkrun,Koonwarra,,3,1,The Great Southern Rail Trail,POINT (145.947772 -38.547585)
northharbour,North Harbour parkrun,North Harbour,,3,1,North Harbour Heritage Park,POINT (152.998427 -27.106368)
margaretriver,Margaret River parkrun,Margaret River,,3,1,Rotary Park,POINT (115.074331 -33.944257)
yokine,Yokine parkrun,Yokine,,3,1,Yokine Reserve,POINT (115.86113 -31.911504)
sanremo,San Remo parkrun,San Remo,,3,1,Edgewater Park,POINT (151.530089 -33.229509)
queensdomain,Queens Domain parkrun,Queens Domain,,3,1,Queens Domain,POINT (147.31775 -42.863822)
gardinerscreek,Gardiners Creek parkrun,Gardiners Creek,,3,1,Gardiners Creek Reserve,POINT (145.114787 -37.845344)
coombs,Coombs parkrun,Coombs,,3,1,Pearlman Street,POINT (149.047518 -35.326215)
portbroughton,Port Broughton parkrun,Port Broughton,,3,1,Port Broughton Foreshore,POINT (137.929613 -33.598731)
bright,Bright parkrun,Bright,,3,1,Mystic Plantation,POINT (146.978 -36.743803)
nhill,Nhill parkrun,Nhill,,3,1,Nhill Swamp and Wildlife Reserve,POINT (141.645653 -36.338609)
greenway,GreenWay parkrun,GreenWay,,3,1,Richard Murden Reserve,POINT (151.14457 -33.882504)
zillmere,Zillmere parkrun,Zillmere,,3,1,O‘Callaghan Park,POINT (153.041015 -27.361066)
nightcliff,Nightcliff parkrun,Nightcliff,,3,1,Rapid Creek,POINT (130.857655 -12.376205)
cardwell,Cardwell parkrun,Cardwell,,3,1,Cardwell,POINT (146.025909 -18.263036)
rosebud,Rosebud parkrun,Rosebud,,3,1,Rosebud Parade,POINT (144.905291 -38.354221)
plantation,Plantation parkrun,Plantation,,3,1,Plantation Park,POINT (147.401024 -19.584321)
kelvingrove,Kelvin Grove parkrun,Kelvin Grove,,3,1,Bishop Street Park,POINT (153.009807 -27.441334)
largsbay,Largs Bay parkrun,Largs Bay,,3,1,Largs Bay,POINT (138.485654 -34.825832)
moana,Moana parkrun,Moana,,3,1,Moana Surf Life Saving Club,POINT (138.470913 -35.197847)
bellerive,Bellerive parkrun,Bellerive,,3,1,Bellerive Beach Park,POINT (147.37175 -42.878181)
aplinsweir,Aplins Weir parkrun,Aplins Weir,,3,1,Aplins Weir,POINT (146.782361 -19.302328)
southtoowoomba,South Toowoomba parkrun,South Toowoomba,,3,1,Middle Ridge Park,POINT (151.956346 -27.594604)
edithburgh,Edithburgh parkrun,Edithburgh,,3,1,Edithburgh Tidal Pool,POINT (137.747177 -35.080717)
wanneroo,Wanneroo parkrun,Wanneroo,,3,1,Opportunity Park,POINT (115.793187 -31.751242)
wildflower,Wildflower parkrun,Wildflower,,3,1,Ku-ring-gai Wildflower Garden,POINT (151.177321 -33.705633)
picton,Picton parkrun,Picton,,3,1,Picton Botanic Gardens Bike Track,POINT (150.610264 -34.16566)
goolwa,Goolwa parkrun,Goolwa,,3,1,Richard Ballard Park,POINT (138.789448 -35.499385)
burnie,Burnie parkrun,Burnie,,3,1,Burnie Foreshore,POINT (145.905 -41.049194)
mountainslie,Mount Ainslie parkrun,Mount Ainslie,,3,1,Remembrance Nature Park,POINT (149.152038 -35.278828)
oceanview,Ocean View parkrun,Ocean View,,3,1,Ocean View Estates,POINT (152.802517 -27.121296)
burswoodpeninsula,Burswood Peninsula parkrun,Burswood Peninsula,,3,1,Burswood Peninsular,POINT (115.887561 -31.95306)
cobar,Cobar parkrun,Cobar,,3,1,Newey Reserve,POINT (145.831405 -31.509832)
portsorell,Port Sorell parkrun,Port Sorell,,3,1,Port Sorell Surf Lifesaving Club,POINT (146.541641 -41.151526)
euroa,Euroa parkrun,Euroa,,3,1,Sevens Creek Park,POINT (145.573825 -36.752767)
northsydney,North Sydney parkrun,North Sydney,,3,1,St Leonards Park,POINT (151.211772 -33.830396)
jubileeway,Jubilee Way parkrun,Jubilee Way,,3,1,Jubilee Community Centre,POINT (138.69439 -34.806102)
westerfolds-juniors,Westerfolds junior parkrun,Westerfolds juniors,Westerfolds junior parkrun,3,2,Westerfolds Park,POINT (145.13425 -37.74439)
woywoy,Woy Woy parkrun,Woy Woy,,3,1,Lions Park,POINT (151.336038 -33.484787)
jindabyne,Jindabyne parkrun,Jindabyne,,3,1,Banjo Paterson Park,POINT (148.625881 -36.41565)
mounthelena,Mount Helena parkrun,Mount Helena,,3,1,Railway Reserves Heritage Trail,POINT (116.208462 -31.879999)
willow,Willow parkrun,Willow,,3,1,Willow Park,POINT (146.874752 -36.136018)
geeveston,Geeveston parkrun,Geeveston,,3,1,"Heritage Park,",POINT (146.925685 -43.163256)
cormorantbay,Cormorant Bay parkrun,Cormorant Bay,,3,1,Cormorant Bay Recreational Reserve,POINT (152.622246 -27.401736)
pallara,Pallara parkrun,Pallara,,3,1,Brookbent Road Park,POINT (153.011071 -27.609314)
mudjimbabeach,Mudjimba Beach parkrun,Mudjimba Beach,,3,1,Cnr Mudjimba Beach Esplanade and Mudjimb,POINT (153.100818 -26.615149)
easterngardens,Eastern Gardens parkrun,Eastern Gardens,,3,1,Eastern Park,POINT (144.378578 -38.147322)
meningie,Meningie parkrun,Meningie,,3,1,248 Esplanade,POINT (139.338438 -35.68627)
pakapakanthi,Pakapakanthi parkrun,Pakapakanthi,,3,1,Pakapakanthi/Victoria Park,POINT (138.617578 -34.928906)
shipwreck,Shipwreck parkrun,Shipwreck,,3,1,Shipwreck Park,POINT (115.977875 -32.162855)
tamworthwetlands,Tamworth Wetlands parkrun,Tamworth Wetlands,,3,1,Tamworth Wetlands,POINT (115.812074 -32.33239)
wimmerariverhorsham,"Wimmera River parkrun, Horsham","Wimmera River, Horsham",,3,1,Sawyer Park,POINT (142.202555 -36.722724)
montroseforeshore,Montrose Foreshore parkrun,Montrose Foreshore,,3,1,Montrose Foreshore Community Park,POINT (147.269908 -42.8227)
seacliffesplanade,Seacliff Esplanade parkrun,Seacliff Esplanade,,3,1,248 Esplanade,POINT (138.516667 -35.035682)
stebonheath,Stebonheath parkrun,Stebonheath,,3,1,Stebonheath Park,POINT (138.66393 -34.676285)
braidwoodshowground,Braidwood Showground parkrun,Braidwood Showground,,3,1,Braidwood Showground,POINT (149.791222 -35.422759)
charlestonsouthaustralia,"Charleston parkrun, South Australia","Charleston, South Australia",,3,1,Amy Gillett Trail,POINT (138.903161 -34.916841)
cowpasturereservecamden,"Cowpasture Reserve parkrun, Camden","Cowpasture Reserve, Camden",,3,1,Nepean River Cycleway,POINT (150.700727 -34.053665)
perrylakes,Perry Lakes parkrun,Perry Lakes,,3,1,Perry Lakes Reserve,POINT (115.784168 -31.945635)
horseshoebayreserve,Horseshoe Bay Reserve parkrun,Horseshoe Bay Reserve,,3,1,Horseshoe Bay Reserve,POINT (153.042179 -30.883931)
centennial,Centennial parkrun,Centennial,,3,1,Centennial Park,POINT (151.228564 -33.898808)
bourkeracecourse,Bourke Racecourse parkrun,Bourke Racecourse,,3,1,Bourke Racecourse,POINT (145.92572 -30.09756)
victoryheightstrail,Victory Heights Trail parkrun,Victory Heights Trail,,3,1,Victory Heights Recreational Trails,POINT (152.680084 -26.171845)
baringa,Baringa parkrun,Baringa,,3,1,Baringa Sports Grounds,POINT (153.080945 -26.806829)
kmreedyreserve,KM Reedy Reserve parkrun,KM Reedy Reserve,,3,1,KM Reedy Reserve,POINT (145.251726 -38.021647)
narrominewetlands,Narromine Wetlands parkrun,Narromine Wetlands,,3,1,Narromine Wetlands,POINT (148.236598 -32.246949)
yowie,Yowie parkrun,Yowie,,3,1,Yowie Park,POINT (152.562585 -26.947949)
milduraweir,Mildura Weir parkrun,Mildura Weir,,3,1,Mildura Weir - Lock 11,POINT (142.162215 -34.175887)
grahamandrews,Graham Andrews parkrun,Graham Andrews,,3,1,Graham Andrews Parkland,POINT (146.244782 -26.412576)
naracoortelake,Naracoorte Lake parkrun,Naracoorte Lake,,3,1,Naracoorte Swimming Lake,POINT (140.741843 -36.949411)
glasshousemountainsconservation,Glass House Mountains Conservation parkrun,Glass House Mountains Conservation,,3,1,Glass House Mountains Conservation Park,POINT (152.823678 -26.986817)
birdslandreserve,Birdsland Reserve parkrun,Birdsland Reserve,,3,1,Birdsland Reserve,POINT (145.335724 -37.923408)
yeldulknieweirtrail,Yeldulknie Weir Trail parkrun,Yeldulknie Weir Trail,,3,1,Yeldulknie Weir Trail,POINT (136.50305 -33.70206)
grandridgerailtrail,"Grand Ridge Rail Trail parkrun, Mirboo North",Grand Ridge Rail Trail,,3,1,Grand Ridge Rail Trail,POINT (146.16502 -38.400561)
shiraztrail,Shiraz Trail parkrun,Shiraz Trail,,3,1,The Shiraz Trail,POINT (138.547611 -35.217671)
whitemarkwharf,Whitemark Wharf parkrun,Whitemark Wharf,,3,1,Whitemark Wharf,POINT (148.013824 -40.121659)
queenelizabethcasino,"Queen Elizabeth parkrun, Casino","Queen Elizabeth, Casino",,3,1,Queen Elizabeth Park,POINT (153.051164 -28.867591)
charleyscreek,Charleys Creek parkrun,Charleys Creek,,3,1,Rotary Park,POINT (150.623683 -26.736553)
marina,Marina parkrun,Marina,,3,1,Marina Park,POINT (114.613067 -28.763698)
collierivertrail,Collie River Trail parkrun,Collie River Trail,,3,1,Collie River Trail,POINT (116.156872 -33.357664)
brokenhillracecourse,Broken Hill Racecourse parkrun,Broken Hill Racecourse,,3,1,Broken Hill Racecourse,POINT (141.483931 -31.911528)
harrisavenue,Harris Avenue parkrun,Harris Avenue,,3,1,Harris Avenue Sports Centre,POINT (152.94537 -27.171876)
werringtonlakesreserve,Werrington Lakes Reserve parkrun,Werrington Lakes Reserve,,3,1,Werrington Lakes Reserve,POINT (150.738658 -33.755343)
kingstonpark,Kingston Park parkrun,Kingston Park,,3,1,Kingston Park,POINT (147.309649 -42.972838)
riverbank,Riverbank parkrun,Riverbank,,3,1,Riverbank Park,POINT (148.909794 -34.838474)
berwickwaters,Berwick Waters parkrun,Berwick Waters,,3,1,Berwick Waters Playground,POINT (145.342965 -38.078218)
rosgregortrail,Ros Gregor Trail parkrun,Ros Gregor Trail,,3,1,Ros Gregor Trail,POINT (151.993762 -26.681999)
wagibridge,Wagi Bridge parkrun,Wagi Bridge,,3,1,Wagi Bridge,POINT (149.123403 -35.161135)
kadinatrail,Kadina Trail parkrun,Kadina Trail,,3,1,Kadina Trail,POINT (116.026041 -31.92623)
campaspe,Campaspe parkrun,Campaspe,,3,1,Campaspe Park,POINT (144.531445 -37.354683)
goldfieldsreservoir,Goldfields Reservoir parkrun,Goldfields Reservoir,,3,1,Goldfields Reservoir,POINT (143.731855 -37.065018)
benallabotanicalgardens,Benalla Botanical Gardens parkrun,Benalla Botanical Gardens,,3,1,Benalla Botanical Gardens,POINT (145.977439 -36.553856)
aurora,Aurora parkrun,Aurora,,3,1,Aurora Town Centre Park,POINT (145.00465 -37.622365)
mundyregional,Mundy Regional parkrun,Mundy Regional,,3,1,Mundy Regional Park,POINT (116.035959 -31.96618)
wallabytrack,Wallaby Track parkrun,Wallaby Track,,3,1,Wallaby Track,POINT (143.898319 -37.552061)
kerangregional,Kerang Regional parkrun,Kerang Regional,,3,1,Kerang Regional Park,POINT (143.908707 -35.730934)
gloucesterdistrict,Gloucester District parkrun,Gloucester District,,3,1,Gloucester District Park,POINT (151.953594 -32.00456)
edinburghoval,Edinburgh Oval parkrun,Edinburgh Oval,,3,1,Edinburgh Oval Park,POINT (115.891775 -32.003668)
warringalparklands,Warringal Parklands parkrun,Warringal Parklands,,3,1,Warringal Parklands,POINT (145.074478 -37.755246)
dandenong,Dandenong parkrun,Dandenong,,3,1,Dandenong Park,POINT (145.215644 -37.991139)
bendigobotanicgardens,Bendigo Botanic Gardens parkrun,Bendigo Botanic Gardens,,3,1,Bendigo Botanic Gardens,POINT (144.305636 -36.725618)
walcha,Walcha parkrun,Walcha,,3,1,Corner of Hill Street and Middle Street,POINT (151.597579 -30.981818)
peppertree,Peppertree parkrun,Peppertree,,3,1,Peppertree Park,POINT (144.432973 -37.68168)
cyrilcurtainreserve,Cyril Curtain Reserve parkrun,Cyril Curtain Reserve,,3,1,Cyril Curtain Reserve,POINT (144.902847 -37.872231)
ourpark,Our Park parkrun,Our Park,,3,1,Our Park,POINT (147.876873 -42.559297)
katereed,Kate Reed parkrun,Kate Reed,,3,1,Kate Reed Recreation Area,POINT (147.138035 -41.47567)
tedscobieoval,Ted Scobie Oval parkrun,Ted Scobie Oval,,3,1,Ted Scobie Oval,POINT (146.074443 -34.273904)
pioneerdairy,Pioneer Dairy parkrun,Pioneer Dairy,,3,1,Pioneer Dairy,POINT (151.427968 -33.29805)
eynesburyheritagetrail-juniors,Eynesbury Heritage Trail junior parkrun,Eynesbury Heritage Trail juniors,,3,2,Eynesbury Heritage Trail,POINT (144.564012 -37.787396)
casulaparklands,Casula Parklands parkrun,Casula Parklands,,3,1,Casula Parklands,POINT (150.91369 -33.948703)
centenary,Centenary parkrun,Centenary,,3,1,Centenary Park,POINT (147.642912 -22.81841)
lakebogaforeshore,Lake Boga Foreshore parkrun,Lake Boga Foreshore,,3,1,Lake Boga Foreshore,POINT (143.628251 -35.45108)
thorndon-juniors,Thorndon junior parkrun,Thorndon juniors,,3,2,Thorndon Park,POINT (138.690985 -34.874224)
northparkesoval,Northparkes Oval parkrun,Northparkes Oval,,3,1,Northparkes Oval,POINT (148.18147 -33.126723)
waterlooplains,Waterloo Plains parkrun,Waterloo Plains,,3,1,Waterloo Plains Environmental Park,POINT (149.958153 -26.11661)
sskoopatrail,S.S. Koopa Trail parkrun,S.S. Koopa Trail,,3,1,Bribie Island Lions Park,POINT (153.145072 -27.065817)
oldthomsonriverroad,Old Thomson River Road parkrun,Old Thomson River Road,,3,1,Old Thomson River Road,POINT (144.243624 -23.436746)
garveypark,Garvey Park parkrun,Garvey Park,,3,1,Garvey Park,POINT (115.941181 -31.922558)
malenytrail,Maleny Trail parkrun,Maleny Trail,,3,1,Maleny Trail,POINT (152.860806 -26.760218)
gayndahriverwalk,Gayndah River Walk parkrun,Gayndah River Walk,,3,1,Gayndah River Walk,POINT (151.611063 -25.624063)
louishamonpark,Louis Hamon Park parkrun,Louis Hamon Park,,3,1,Louis Hamon Park,POINT (145.442706 -36.094049)
pembroke,Pembroke parkrun,Pembroke,,3,1,Pembroke Park,POINT (147.558066 -42.780686)
cascadesonclydewetlands,Cascades on Clyde Wetlands parkrun,Cascades on Clyde Wetlands,,3,1,Cascades on Clyde Wetlands,POINT (145.325835 -38.100383)
bellevuepark-juniors,Bellevue Park junior parkrun,Bellevue Park juniors,,3,2,Bellevue Park State School,POINT (153.396886 -27.994529)
whalanreserve,Whalan Reserve parkrun,Whalan Reserve,,3,1,Whalan Reserve,POINT (150.79587 -33.75943)
avondaleuniversitycollege,Avondale University College parkrun,Avondale University College,,3,1,Avondale University College,POINT (151.463247 -33.088354)
henrykendallreserve,Henry Kendall Reserve parkrun,Henry Kendall Reserve,,3,1,Henry Kendall Reserve,POINT (152.794806 -31.636004)
desconnorpark-juniors,Des Connor Park junior parkrun,Des Connor Park juniors,,3,2,Des Connor Park,POINT (152.978964 -27.441892)
leetonsportandrecreationprecinct,Leeton Sport and Recreation Precinct parkrun,Leeton Sport and Recreation Precinct,,3,1,Leeton Sport and Recreation Precinct,POINT (146.411376 -34.556093)
ovensrivertrail,Ovens River Trail parkrun,Ovens River Trail,,3,1,Ovens River Trail,POINT (146.711688 -36.555094)
hamptonoval,Hampton Oval parkrun,Hampton Oval,,3,1,Hampton Oval,POINT (116.70334 -20.666182)
southparareservoir,South Para Reservoir parkrun,South Para Reservoir,,3,1,South Para Reservoir,POINT (138.877987 -34.683829)
theavenues,The Avenues parkrun,The Avenues,,3,1,The Avenues,POINT (138.709337 -35.209252)
bayviewroad,Bayview Road parkrun,Bayview Road,,3,1,Bayview Road,POINT (116.806181 -20.729535)
dorsetrecreationreserve,Dorset Recreation Reserve parkrun,Dorset Recreation Reserve,,3,1,Dorset Recreation Reserve,POINT (145.29128 -37.805244)
eccoripley,Ecco Ripley parkrun,Ecco Ripley,,3,1,Ecco Ripley,POINT (152.80014 -27.681056)
mcleanbeach,McLean Beach parkrun,McLean Beach,,3,1,McLean Beach,POINT (144.959987 -35.519255)
patawalongariver,Patawalonga River parkrun,Patawalonga River,,3,1,Anderson Avenue,POINT (138.516116 -34.963603)
nathaliashowgrounds,Nathalia Showgrounds parkrun,Nathalia Showgrounds,,3,1,Nathalia Showgrounds and Recreation Reserve,POINT (145.211172 -36.053066)
nathanroadsportsground,Nathan Road Sports Ground parkrun,Nathan Road Sports Ground,,3,1,Nathan Road Sports Ground,POINT (153.073387 -27.211218)
homestead,Homestead parkrun,Homestead,,3,1,Homestead,POINT (115.970386 -32.053807)
chaffeypark,Chaffey Park parkrun,Chaffey Park,,3,1,Chaffey Park,POINT (150.73018 -30.743124)
railwaypark,Railway Park parkrun,Railway Park,,3,1,Railway Park,POINT (151.600195 -26.164413)
fodderforest,Fodder Forest parkrun,Fodder Forest,,3,1,Fodder Forest,POINT (153.293958 -27.583123)
glenoma,Glenoma parkrun,Glenoma,,3,1,Glenoma Park,POINT (145.708784 -16.899012)
ansteyhillrecreation,Anstey Hill Recreation parkrun,Anstey Hill Recreation,,3,1,Anstey Hill Recreation,POINT (138.728048 -34.825885)
wentworthcommon,Wentworth Common parkrun,Wentworth Common,,3,1,Wentworth Common,POINT (151.075107 -33.837954)
coppertrail,Copper Trail parkrun,Copper Trail,,3,1,Copper Trail,POINT (137.667378 -33.95397)
southbeachrecreationreserve,South Beach Recreation Reserve parkrun,South Beach Recreation Reserve,,3,1,South Beach Recreation Reserve,POINT (115.752554 -32.07687)
frankstonnatureconservationres,Frankston Nature Conservation Reserve parkrun,Frankston Nature Conservation Reserve,,3,1,Frankston Nature Conservation Reserve,POINT (145.12985 -38.17212)
oaklandsestatereserve,Oaklands Estate Reserve parkrun,Oaklands Estate Reserve,,3,1,Oaklands Estate Reserve,POINT (138.548072 -34.999482)
jamestowngolfcourse,Jamestown Golf Course parkrun,Jamestown Golf Course,,3,1,Jamestown Golf Course,POINT (138.561957 -33.228546)
lewisparkreserve,Lewis Park Reserve parkrun,Lewis Park Reserve,,3,1,Lewis Park Reserve,POINT (145.248705 -37.86738)
warrandyteriverreserve,Warrandyte River Reserve parkrun,Warrandyte River Reserve,,3,1,Warrandyte River Reserve,POINT (145.219969 -37.73646)
jarrahdaleheritage,Jarrahdale Heritage parkrun,Jarrahdale Heritage,,3,1,Jarrahdale Heritage Park,POINT (116.058618 -32.33521)
panboolawetlands,Panboola Wetlands parkrun,Panboola Wetlands,,3,1,Panboola Wetlands,POINT (149.876361 -36.932932)
charterstowersairport,Charters Towers Airport parkrun,Charters Towers Airport,,3,1,Charters Towers Airport,POINT (146.273413 -20.044688)
karoolapark,Karoola Park parkrun,Karoola Park,,3,1,Karoola Park,POINT (150.895351 -32.255338)
lakeclaremont,Lake Claremont parkrun,Lake Claremont,,3,1,Lake Claremont,POINT (115.779507 -31.97481)
mypongareservoir,Myponga Reservoir parkrun,Myponga Reservoir,,3,1,Myponga Reservoir,POINT (138.452385 -35.394655)
elliottheadsbeach,Elliott Heads Beach parkrun,Elliott Heads Beach,,3,1,Elliott Heads Beach,POINT (152.491565 -24.92193)
kirkdalereserve,Kirkdale Reserve parkrun,Kirkdale Reserve,,3,1,Kirkdale Reserve,POINT (144.983855 -37.770512)
southernhighlandsbotanicgardens,Southern Highlands Botanic Gardens parkrun,Southern Highlands Botanic Gardens,,3,1,Southern Highlands Botanic Gardens,POINT (150.430717 -34.499624)
frankkeenanreserve,Frank Keenan Reserve parkrun,Frank Keenan Reserve,,3,1,Frank Keenan Reserve,POINT (146.02204 -36.002211)
bellsparade,Bells Parade parkrun,Bells Parade,,3,1,Bells Parade,POINT (146.401326 -41.228831)
umbagongdistrict,Umbagong District parkrun,Umbagong District,,3,1,Umbagong District Park,POINT (149.020531 -35.218922)
nantuwama,Nantu Wama parkrun,Nantu Wama,,3,1,Nantu Wama/Lefevre Park,POINT (138.600665 -34.905183)
westburytowncommon,Westbury Town Common parkrun,Westbury Town Common,,3,1,Westbury Town Common,POINT (146.825856 -41.528688)
universityofwesternaustralia,University of Western Australia parkrun,University of Western Australia,,3,1,University of Western Australia (Crawley Campus),POINT (115.819132 -31.977596)
beaufortlake,Beaufort Lake parkrun,Beaufort Lake,,3,1,Beaufort Lake,POINT (143.382552 -37.439405)
jerrabomberramountainreserve,Jerrabomberra Mountain Reserve parkrun,Jerrabomberra Mountain Reserve,,3,1,Jerrabomberra Mountain Reserve,POINT (149.20315 -35.376524)
tynwaldpark,Tynwald Park parkrun,Tynwald Park,,3,1,Tynwald Park,POINT (147.071624 -42.776331)
nolenspark,Nolen’s Park parkrun,Nolen’s Park,,3,1,Nolen’s Park,POINT (143.727281 -36.117426)
robelledomain,Robelle Domain parkrun,Robelle Domain,,3,1,Robelle Domain,POINT (152.903883 -27.680012)
memorialpark,Memorial Park parkrun,Memorial Park,,3,1,Memorial Park,POINT (138.005566 -33.179621)
cooberpedyoval,Coober Pedy Oval parkrun,Coober Pedy Oval,,3,1,Coober Pedy Oval,POINT (134.754566 -29.018468)
princeofwales,Prince of Wales parkrun,Prince of Wales,,3,1,Prince of Wales Park,POINT (143.816194 -37.548659)
scribblygumsconservation,Scribbly Gums Conservation parkrun,Scribbly Gums Conservation,,3,1,Scribbly Gums Conservation Area,POINT (153.235428 -27.52964)
baxter,Baxter parkrun,Baxter,,3,1,Baxter Park,POINT (113.654841 -24.891447)
jurienbayforeshore,Jurien Bay Foreshore parkrun,Jurien Bay Foreshore,,3,1,Jurien Bay Foreshore,POINT (115.037533 -30.302452)
picnicpointparklands,Picnic Point Parklands parkrun,Picnic Point Parklands,,3,1,Picnic Point Parklands,POINT (151.986016 -27.578938)
lakewallace,Lake Wallace parkrun,Lake Wallace,,3,1,Lake Wallace,POINT (141.295153 -37.033988)
australianstandingstones,Australian Standing Stones parkrun,Australian Standing Stones,,3,1,Australian Standing Stones,POINT (151.752481 -29.741602)
calembeen,Calembeen parkrun,Calembeen,,3,1,Calembeen Park,POINT (143.889512 -37.419365)
brisbanevalleyrailtrail,"Brisbane Valley Rail Trail parkrun, Blackbutt",Brisbane Valley Rail Trail,,3,1,Brisbane Valley Rail Trail,POINT (152.102115 -26.882628)
pointhutpond,Point Hut Pond parkrun,Point Hut Pond,,3,1,Point Hut Pond District Park,POINT (149.084343 -35.454104)
mariacreekreserve,Maria Creek Reserve parkrun,Maria Creek Reserve,,3,1,Maria Creek Reserve,POINT (139.850911 -36.82741)
newcastlepark,Newcastle Park parkrun,Newcastle Park,,3,1,Newcastle Park,POINT (116.470403 -31.55064)
oconnorsbeach,O’Connors Beach parkrun,O’Connors Beach,,3,1,O’Connors Beach,POINT (148.274083 -41.338567)
yackandandahrailtrail,Yackandandah Rail Trail parkrun,Yackandandah Rail Trail,,3,1,Yackandandah Rail Trail,POINT (146.838391 -36.316082)
parkindulareserve,Parkindula Reserve parkrun,Parkindula Reserve,,3,1,Parkindula Reserve,POINT (138.867671 -35.090709)
tallangattastation,Tallangatta Station parkrun,Tallangatta Station,,3,1,Tallangatta Station,POINT (147.178437 -36.218537)
dixonfield,Dixon Field parkrun,Dixon Field,,3,1,Dixon Field,POINT (144.584456 -37.483912)
woodlandshistoricpark,Woodlands Historic Park parkrun,Woodlands Historic Park,,3,1,Woodlands Historic Park,POINT (144.843618 -37.640182)
kilmoreracecoursewalkingtrack,Kilmore Racecourse Walking Track parkrun,Kilmore Racecourse Walking Track,,3,1,Kilmore Racecourse Walking Track,POINT (144.960419 -37.288433)
maroondahdam,Maroondah Dam parkrun,Maroondah Dam,,3,1,Maroondah Dam,POINT (145.552323 -37.642875)
naroomawetlands,Narooma Wetlands parkrun,Narooma Wetlands,,3,1,Narooma Wetlands,POINT (139.293059 -35.12956)
townbeach,Town Beach parkrun,Town Beach,,3,1,Town Beach,POINT (122.237403 -17.968407)
wesmitchellpark,Wes Mitchell Park parkrun,Wes Mitchell Park,,3,1,Wes Mitchell Park,POINT (153.006603 -25.915262)
harmonyboulevard,Harmony Boulevard parkrun,Harmony Boulevard,,3,1,Harmony Boulevard Park,POINT (153.059891 -26.738409)
jakespoint,Jakes Point parkrun,Jakes Point,,3,1,Jakes Point Lookout,POINT (114.15228 -27.733275)
wilsoninletheritagetrail,Wilson Inlet Heritage Trail parkrun,Wilson Inlet Heritage Trail,,3,1,Wilson Inlet Heritage Trail,POINT (117.366188 -34.968285)
goulburnrivertrailseymour,"Goulburn River Trail parkrun, Seymour","Goulburn River Trail, Seymour",,3,1,"Goulburn River Trail, Seymour",POINT (145.124768 -37.018279)
tworiverswines,Two Rivers Wines parkrun,Two Rivers Wines,,3,1,Two Rivers Wines,POINT (150.677378 -32.404772)
dhunggaarrreserve,Dhunggaarr Reserve parkrun,Dhunggaarr Reserve,,3,1,Dhunggaarr Reserve,POINT (152.654475 -31.885091)
katherinehotsprings,Katherine Hot Springs parkrun,Katherine Hot Springs,,3,1,Katherine Hot Springs,POINT (132.254944 -14.482484)
centennialparkdunsborough,"Centennial Park parkrun, Dunsborough","Centennial Park, Dunsborough",,3,1,"Centennial Park, Dunsborough",POINT (115.112646 -33.615733)
belairnationalpark,Belair National Park parkrun,Belair National Park,,3,1,Belair National Park,POINT (138.636344 -35.011616)
palmcreek,Palm Creek parkrun,Palm Creek,,3,1,Palm Creek,POINT (146.161677 -18.651491)
trebeckreserve,Trebeck Reserve parkrun,Trebeck Reserve,,3,1,Trebeck Reserve,POINT (143.988093 -38.233939)
ballpark,Ball Park parkrun,Ball Park,,3,1,Ball Park,POINT (146.393936 -36.000667)
zeehangolfclub,Zeehan Golf Club parkrun,Zeehan Golf Club,,3,1,Zeehan Golf Club,POINT (145.322678 -41.889891)
capestonelake,Capestone Lake parkrun,Capestone Lake,,3,1,Capestone Lake,POINT (153.039406 -27.233548)
whyallaforeshore,Whyalla Foreshore parkrun,Whyalla Foreshore,,3,1,Whyalla Foreshore,POINT (137.585902 -33.040603)
ridleyplaceforeshore,Ridley Place Foreshore parkrun,Ridley Place Foreshore,,3,1,Ridley Place Foreshore,POINT (115.714384 -33.275814)
esperanceforeshore,Esperance Foreshore parkrun,Esperance Foreshore,,3,1,Esperance Foreshore,POINT (121.893784 -33.863295)
jubileetenterfield,"Jubilee parkrun, Tenterfield","Jubilee, Tenterfield",,3,1,"Jubilee, Tenterfield",POINT (152.01537 -29.054042)
