eventname,EventLongName,EventShortName,LocalisedEventLongName,countrycode,seriesid,EventLocation,geometry
hastingsforeshore,Hastings Foreshore parkrun,Hastings Foreshore,,3,1,Hastings Foreshore,POINT (145.196651 -38.307311)
bunyaville,Bunyaville parkrun,Bunyaville,,3,1,James Drysdale Recreational Conservation Centre,POINT (152.949138 -27.377306)
inverell,Inverell parkrun,Inverell,,3,1,Campbell Park,POINT (151.10897 -29.77388)
mosman,Mosman parkrun,Mosman,,3,1,Spit West Reserve,POINT (151.245989 -33.806252)
armidale,Armidale parkrun,Armidale,,3,1,SportUNE,POINT (151.639419 -30.491998)
diamondcreek,Diamond Creek parkrun,Diamond Creek,,3,1,Marngrook Oval,POINT (145.153249 -37.673576)
warwick,Warwick parkrun,Warwick,,3,1,Condamine River,POINT (152.038465 -28.209605)
oceangrove,Ocean Grove parkrun,Ocean Grove,,3,1,Barwon Estuary Picnic Area,POINT (144.512783 -38.267313)
bargara,Bargara parkrun,Bargara,,3,1,Nielson Park,POINT (152.456905 -24.806914)
bathurst,Bathurst parkrun,Bathurst,,3,1,Bicentennial Park,POINT (149.586917 -33.414176)
portmacquarie,Port Macquarie parkrun,Port Macquarie,,3,1,Port Macquarie,POINT (152.916551 -31.42754)
blackbutt,Blackbutt parkrun,Blackbutt,,3,1,Richley Recreation Reserve,POINT (151.699755 -32.932526)
emerald,Emerald parkrun,Emerald,,3,1,Botanical Gardens,POINT (148.164253 -23.531435)
berwicksprings,Berwick Springs parkrun,Berwick Springs,,3,1,Berwick Springs Promenade,POINT (145.322932 -38.062069)
pointcook,Point Cook parkrun,Point Cook,,3,1,Arndell Park Community Centre,POINT (144.72952 -37.862086)
rockhampton,Rockhampton parkrun,Rockhampton,,3,1,Botanic Gardens,POINT (150.491432 -23.400579)
dalby,Dalby parkrun,Dalby,,3,1,Dalby,POINT (151.262339 -27.188036)
westerfolds,Westerfolds parkrun,Westerfolds,,3,1,Westerfolds Park,POINT (145.133986 -37.746092)
mudgeeraba,Mudgeeraba parkrun,Mudgeeraba,,3,1,Darcy Doyle Park,POINT (153.364098 -28.086682)
alburywodonga,Albury Wodonga parkrun,Albury Wodonga,,3,1,Hovell Tree Park,POINT (146.88886 -36.0873)
mackay,Mackay parkrun,Mackay,,3,1,Mackay Botanic Gardens,POINT (149.155797 -21.152238)
roma,Roma parkrun,Roma,,3,1,Roma,POINT (148.789054 -26.567166)
maitland,Maitland parkrun,Maitland,,3,1,Walka Recreation & Wildlife Reserve,POINT (151.552845 -32.714435)
torquay,Torquay parkrun,Torquay,,3,1,Fishermans Beach,POINT (144.326903 -38.327281)
lakesentrance,Lakes Entrance parkrun,Lakes Entrance,,3,1,"Lakes Entrance Rotunda, Memorial Park",POINT (147.994104 -37.879944)
herveybay,Hervey Bay parkrun,Hervey Bay,,3,1,Lions Park,POINT (152.90367 -25.283163)
bluegumhills,Blue Gum Hills parkrun,Blue Gum Hills,,3,1,Blue Gum Hills Regional Park,POINT (151.620206 -32.884131)
minnippi,Minnippi parkrun,Minnippi,,3,1,Meadowfields Road,POINT (153.118679 -27.49331)
mountgambier,Mount Gambier parkrun,Mount Gambier,,3,1,Blue Lake Reserve,POINT (140.777854 -37.84289)
calamvale,Calamvale parkrun,Calamvale,,3,1,Calamvale District Park,POINT (153.039287 -27.620775)
stanthorpe,Stanthorpe parkrun,Stanthorpe,,3,1,Gleeson Park,POINT (151.931781 -28.65183)
lillydalelake,Lillydale Lake parkrun,Lillydale Lake,,3,1,Lilydale Lake,POINT (145.357071 -37.766218)
goldenbeach,Golden Beach parkrun,Golden Beach,,3,1,Woorim Park,POINT (153.120795 -26.829014)
lakeview,Lakeview parkrun,Lakeview,,3,1,The Shores Way,POINT (151.642302 -33.030093)
singleton,Singleton parkrun,Singleton,,3,1,Rose Point Park,POINT (151.160776 -32.565281)
yamba,Yamba parkrun,Yamba,,3,1,Ford Park,POINT (153.357271 -29.435742)
cooksriver,Cooks River parkrun,Cooks River,,3,1,Saint Mary Mackillop Reserve,POINT (151.116857 -33.913708)
quinnsrocks,Quinns Rocks parkrun,Quinns Rocks,,3,1,Quinns Rocks,POINT (115.69588 -31.679025)
coffsharbour,Coffs Harbour parkrun,Coffs Harbour,,3,1,Park Beach Reserve,POINT (153.1376 -30.295687)
manjimup,Manjimup parkrun,Manjimup,,3,1,Manjimup Homemaker Centre,POINT (116.179615 -34.227785)
campbelltown,Campbelltown parkrun,Campbelltown,,3,1,Hurricane Drive,POINT (150.814819 -34.018301)
sale,Sale parkrun,Sale,,3,1,Sale Botanic Gardens,POINT (147.078273 -38.114103)
queanbeyan,Queanbeyan parkrun,Queanbeyan,,3,1,Queanbeyan,POINT (149.238801 -35.348151)
pioneer,Pioneer parkrun,Pioneer,,3,1,Pioneer Park,POINT (116.001509 -32.066125)
tamborinemountain,Tamborine Mountain parkrun,Tamborine Mountain,,3,1,Tamborine Mountain Sports Complex,POINT (153.193434 -27.941377)
penrithlakes,Penrith Lakes parkrun,Penrith Lakes,,3,1,Sydney International Regatta Centre,POINT (150.685741 -33.725922)
kenningtonreservoir,Kennington Reservoir parkrun,Kennington Reservoir,,3,1,Kennington Reservoir,POINT (144.312232 -36.772141)
yeppoon,Yeppoon parkrun,Yeppoon,,3,1,Yeppoon,POINT (150.739086 -23.128177)
rousehill,Rouse Hill parkrun,Rouse Hill,,3,1,Rouse Hill Regional Park,POINT (150.911109 -33.679301)
stonescorner,Stones Corner parkrun,Stones Corner,,3,1,Hanlon Park,POINT (153.042469 -27.498722)
wishart,Wishart parkrun,Wishart,,3,1,Wishart Community Park,POINT (153.103468 -27.560975)
victorharbor,Victor Harbor parkrun,Victor Harbor,,3,1,Victor Harbor,POINT (138.611096 -35.565657)
mtpenang,Mt Penang parkrun,Mt Penang,,3,1,Mt Penang Parklands,POINT (151.293178 -33.426328)
cottesloe,Cottesloe parkrun,Cottesloe,,3,1,Marine Parade,POINT (115.75182 -32.006479)
mountisa,Mount Isa parkrun,Mount Isa,,3,1,Tharrapatha Way,POINT (139.492772 -20.702319)
yarrabilba,Yarrabilba parkrun,Yarrabilba,,3,1,Darlington Parklands,POINT (153.10409 -27.80288)
maribyrnong,Maribyrnong parkrun,Maribyrnong,,3,1,Maribyrnong,POINT (144.897858 -37.770632)
pittsworth,Pittsworth parkrun,Pittsworth,,3,1,Pittsworth,POINT (151.641106 -27.712352)
lawson,Lawson parkrun,Lawson,,3,1,North Lawson Park,POINT (150.426901 -33.713629)
carineglades,Carine Glades parkrun,Carine Glades,,3,1,Carine Regional Open Space,POINT (115.789061 -31.853621)
hamilton,Hamilton parkrun,Hamilton,,3,1,Lake Hamilton,POINT (142.040024 -37.737592)
centrallakes,Central Lakes parkrun,Central Lakes,,3,1,Central Lakes Drive,POINT (152.973187 -27.07755)
pakenham,Pakenham parkrun,Pakenham,,3,1,Pakenham,POINT (145.463839 -38.06462)
capalaba,Capalaba parkrun,Capalaba,,3,1,Capalaba Regional Park,POINT (153.186858 -27.521405)
mudgee,Mudgee parkrun,Mudgee,,3,1,Mudgee,POINT (149.586719 -32.589229)
wangaratta,Wangaratta parkrun,Wangaratta,,3,1,Apex Park,POINT (146.329944 -36.351774)
broadbeachwaters,Broadbeach Waters parkrun,Broadbeach Waters,,3,1,Monaco Street,POINT (153.412292 -28.018497)
toolerncreek,Toolern Creek parkrun,Toolern Creek,,3,1,Toolern Creek Park,POINT (144.583229 -37.714776)
redcliffe,Redcliffe parkrun,Redcliffe,,3,1,"Suttons Beach Park, Marine Parade",POINT (153.114827 -27.235456)
froghollow,Frog Hollow parkrun,Frog Hollow,,3,1,David Collins Drive,POINT (145.273622 -37.991559)
shellharbour,Shellharbour parkrun,Shellharbour,,3,1,Killalea Drive,POINT (150.862868 -34.602608)
berrinba,Berrinba parkrun,Berrinba,,3,1,Berrinba Wetlands,POINT (153.077193 -27.665606)
inverloch,Inverloch parkrun,Inverloch,,3,1,Rotary Centenary Park,POINT (145.719625 -38.639515)
stlucia,St Lucia parkrun,St Lucia,,3,1,University of Queensland,POINT (153.017796 -27.495122)
geographebay,Geographe Bay parkrun,Geographe Bay,,3,1,Geographe Bay Rd,POINT (115.354374 -33.642342)
mtclarence,Mt Clarence parkrun,Mt Clarence,,3,1,Flinders Parade,POINT (117.916528 -35.025659)
bibralake,Bibra Lake parkrun,Bibra Lake,,3,1,Bibra Lake Reserve,POINT (115.820636 -32.093955)
chermside,Chermside parkrun,Chermside,,3,1,"Kidspace Playground, 7th Brigade Park",POINT (153.033507 -27.37896)
dawesville,Dawesville parkrun,Dawesville,,3,1,Dawesville Foreshore Reserve,POINT (115.640914 -32.625918)
cronulla,Cronulla parkrun,Cronulla,,3,1,Don Lucas Reserve,POINT (151.161836 -34.040937)
lismore,Lismore parkrun,Lismore,,3,1,Riverside Park,POINT (153.270029 -28.812589)
cowra,Cowra parkrun,Cowra,,3,1,Cowra,POINT (148.703733 -33.812714)
portaugusta,Port Augusta parkrun,Port Augusta,,3,1,Eastside Foreshore (underneath the Joy Baluch),POINT (137.764721 -32.4874)
atherton,Atherton parkrun,Atherton,,3,1,Atherton Tablelands railtrail,POINT (145.471686 -17.275414)
stockton,Stockton parkrun,Stockton,,3,1,Stockton,POINT (151.78442 -32.919273)
huskisson,Huskisson parkrun,Huskisson,,3,1,Huskisson White Sands Park,POINT (150.677109 -35.049429)
parkville,Parkville parkrun,Parkville,,3,1,Princes Park,POINT (144.961755 -37.784837)
moora,Moora parkrun,Moora,,3,1,Apex Park,POINT (116.004276 -30.638892)
brightwater,Brightwater parkrun,Brightwater,,3,1,Brightwater Sports Ground,POINT (153.106718 -26.709852)
